,Year,Type,Country,Area,Activity,Sex ,Fatal (Y/N),Month,New_Age
666,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,6,
667,2013,Unprovoked,USA,Florida,Surfing,F,N,6,
668,2013,Unprovoked,USA,South Carolina,Surfing,F,N,6,10
669,2013,Provoked,USA,Florida,Fishing,M,N,6,58
670,2013,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,6,
671,2013,Unprovoked,USA,Hawaii,Water Sports,M,N,5,32
672,2013,Unprovoked,USA,Florida,Swimming,M,N,5,11
673,2013,Unprovoked,BRAZIL,Pernambuco,,M,Y,5,41
674,2013,Provoked,PALESTINIAN TERRITORIES,,Fishing,M,N,5,30
675,2013,Unprovoked,ECUADOR,Santa Cruz Island,Surfing,M,N,5,29
676,2013,Invalid,USA,California,Surfing,M,,5,42
677,2013,Unprovoked,REUNION,Saint-Gilles,Surfing,M,Y,5,36
678,2013,Unprovoked,USA,Florida,Surfing,M,N,5,16
679,2013,Provoked,AUSTRALIA,New South Wales,Fishing,M,N,4,
680,2013,Unprovoked,MEXICO,Quintana Roo,Swimming,F,N,4,34
681,2013,Unprovoked,AUSTRALIA,New South Wales,Fishing,M,N,4,51
682,2013,Unprovoked,USA,Florida,Surfing,M,N,4,9
683,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Water Sports,M,N,4,
684,2013,Unprovoked,USA,Florida,Surfing,M,N,4,21
685,2013,Unprovoked,GUAM,,,M,Y,4,40
686,2013,Unprovoked,FRENCH POLYNESIA,Tuamotus,Surfing,M,N,4,53
687,2013,Unprovoked,USA,Florida,Swimming,M,N,4,50
688,2013,Invalid,AUSTRALIA,Western Australia,,M,,4,24
689,2013,Unprovoked,USA,Hawaii,Surfing,M,N,4,58
690,2013,Invalid,AUSTRALIA,New South Wales,Surfing,M,,3,47
691,2013,Unprovoked,SEYCHELLES,,Water Sports,M,N,3,34
692,2013,Unprovoked,BELIZE,,Water Sports,F,N,3,
693,2013,Unprovoked,BAHAMAS,Eleuthera,Fishing,M,N,3,50
694,2013,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,N,3,30
695,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,N,3,
696,2013,Unprovoked,JAMAICA,St. Catherine,Fishing,M,Y,3,68
697,2013,Unprovoked,AUSTRALIA,Western Australia,Fishing,M,N,3,28
698,2013,Unprovoked,PHILIPPINES,Palawan,Swimming,M,N,3,28
699,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,N,3,39
700,2013,Unprovoked,NEW ZEALAND,North Island,Swimming,M,Y,2,46
701,2013,Unprovoked,USA,Hawaii,Surfing,,N,2,
702,2013,Unprovoked,USA,Hawaii,Surfing,M,N,2,
703,2013,Unprovoked,USA,Florida,Surfing,M,N,2,16
704,2013,Unprovoked,FRENCH POLYNESIA,Society Islands,Water Sports,M,N,2,48
705,2013,Unprovoked,JAMAICA,Kingston Parish,,M,N,2,18
706,2013,Boat,AUSTRALIA,Victoria,Fishing,M,N,1,
707,2013,Unprovoked,AUSTRALIA,Queensland,Surfing,M,N,1,
708,2013,Invalid,AUSTRALIA,Queensland,Other,M,,1,62
709,2013,Unprovoked,USA,Hawaii,Surfing,M,N,1,43
710,2013,Unprovoked,NEW ZEALAND,Mercury Islands,Fishing,M,N,1,
711,2013,Unprovoked,AUSTRALIA,Western Australia,Fishing,M,N,1,26
712,2012,Unprovoked,USA,Florida,Swimming,M,N,12,
713,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,12,23
714,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,12,29
715,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Y,12,20
716,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,12,32
717,2012,Unprovoked,USA,Hawaii,Surfing,M,N,12,60
718,2012,Unprovoked,AUSTRALIA,New South Wales,Fishing,M,N,12,31
719,2012,Unprovoked,NEW ZEALAND,South Island,Water Sports,F,N,12,25
720,2012,Unprovoked,USA,Hawaii,Water Sports,M,N,11,61
721,2012,Invalid,AUSTRALIA,Queensland,,M,,11,20
722,2012,Unprovoked,MEXICO,Sinaloa,Swimming,M,Y,11,32
723,2012,Unprovoked,USA,Florida,Surfing,M,N,11,14
724,2012,Unprovoked,USA,Hawaii,Water Sports,M,N,11,30
725,2012,Unprovoked,USA,Hawaii,Surfing,M,N,11,43
726,2012,Unprovoked,USA,California,Surfing,M,N,10,25
727,2012,Unprovoked,USA,Hawaii,Swimming,F,N,10,51
728,2012,Unprovoked,USA,California,Surfing,M,Y,10,39
729,2012,Unprovoked,USA,Florida,,F,N,10,35
730,2012,Unprovoked,USA,Florida,Surfing,M,N,10,24
731,2012,Unprovoked,USA,Hawaii,Surfing,M,N,10,55
732,2012,Invalid,USA,Florida,,M,,10,
733,2012,Unprovoked,NIGERIA,Delta,Swimming,F,N,10,38
734,2012,Unprovoked,USA,California,Surfing,M,N,10,42
735,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,10,11
736,2012,Unprovoked,USA,Florida,Surfing,M,N,9,21
737,2012,Unprovoked,USA,Florida,Surfing,M,N,9,22
738,2012,Unprovoked,USA,Florida,Surfing,M,N,9,52
739,2012,Unprovoked,TONGA,Vava'u,Swimming,F,N,9,29
740,2012,Unprovoked,USA,Florida,Surfing,,N,9,19
741,2012,Unprovoked,USA,Florida,Surfing,M,N,9,25
742,2012,Unprovoked,USA,Florida,Swimming,M,N,9,
743,2012,Unprovoked,USA,Florida,Surfing,M,N,9,30
744,2012,Unprovoked,USA,Florida,Surfing,M,N,9,37
745,2012,Unprovoked,USA,Florida,Surfing,M,N,9,32
746,2012,Unprovoked,USA,Florida,Surfing,F,N,9,8
747,2012,Provoked,USA,Hawaii,Fishing,,N,9,
748,2012,Unprovoked,USA,Florida,Surfing,F,N,9,56
749,2012,Provoked,SCOTLAND,Inner Hebrides,Fishing,M,N,8,53
750,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,8,34
751,2012,Unprovoked,BRAZIL,Pernambuco,Swimming,M,Y,8,18
752,2012,Unprovoked,USA,Alabama,Swimming,M,N,8,31
753,2012,Boat,AUSTRALIA,Western Australia,Fishing,,N,8,
754,2012,Unprovoked,USA,Florida,Water Sports,M,N,8,56
755,2012,Unprovoked,REUNION,Saint Leu,Surfing,M,N,8,39
756,2012,Unprovoked,FRENCH POLYNESIA,Tuamotus,Fishing,M,N,8,
757,2012,Unprovoked,USA,California,Surfing,M,N,7,17
758,2012,Unprovoked,AUSTRALIA,South Australia,Surfing,M,N,7,48
759,2012,Unprovoked,USA,Hawaii,Surfing,M,N,7,44
760,2012,Unprovoked,USA,Massachusetts,Surfing,M,N,7,50
761,2012,Invalid,USA,North Carolina,,M,,7,12
762,2012,Unprovoked,REUNION,Trois-Bassins,Surfing,M,Y,7,22
763,2012,Invalid,TRINIDAD & TOBAGO,Trinidad,Swimming,M,,7,24
764,2012,Invalid,CANADA,British Colombia,Surfing,F,,7,23
765,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Y,7,24
766,2012,Unprovoked,USA,North Carolina,Swimming,F,N,7,43
767,2012,Unprovoked,BAHAMAS,Eleuthera,Fishing,M,N,7,
768,2012,Invalid,AUSTRALIA,Victoria,Water Sports,F,,7,42
769,2012,Boat,USA,California,Water Sports,M,N,7,52
770,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,N,7,29
771,2012,Invalid,CROATIA,,Swimming,,,6,60
772,2012,Unprovoked,USA,Florida,Swimming,M,N,6,6
773,2012,Unprovoked,USA,Florida,Surfing,M,N,6,26
774,2012,Unprovoked,USA,Hawaii,Other,F,N,6,16
775,2012,Unprovoked,AUSTRALIA,Tasmania,Surfing,M,N,6,
776,2012,Unprovoked,USA,Florida,Swimming,M,N,6,12
777,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,6,62
778,2012,Invalid,USA,South Carolina,Swimming,M,,6,16
779,2012,Unprovoked,USA,North Carolina,Swimming,F,N,6,6
780,2012,Provoked,USA,Florida,Fishing,M,N,6,23
781,2012,Unprovoked,USA,South Carolina,Swimming,F,N,6,18
782,2012,Unprovoked,USA,South Carolina,Swimming,M,N,6,
783,2012,Unprovoked,USA,South Carolina,Swimming,M,N,6,
784,2012,Unprovoked,USA,South Carolina,Swimming,M,N,6,16
785,2012,Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,6,42
787,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,6,30
788,2012,Unprovoked,USA,Florida,Surfing,F,N,6,12
789,2012,Unprovoked,USA,South Carolina,Surfing,M,N,6,25
790,2012,Unprovoked,USA,North Carolina,Swimming,F,N,5,33
791,2012,Unprovoked,MEXICO,Guerrero,Fishing,M,N,5,46
792,2012,Unprovoked,USA,Florida,Surfing,M,N,5,22
793,2012,Boat,USA,Hawaii,Fishing,M,N,5,
794,2012,Unprovoked,FIJI,,Fishing,M,N,5,20
795,2012,Boat,USA,California,Fishing,M,N,5,30
796,2012,Unprovoked,USA,Florida,Swimming,F,N,5,47
797,2012,Unprovoked,USA,California,Surfing,F,N,5,15
798,2012,Unprovoked,USA,Florida,Surfing,M,N,4,28
799,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Y,4,20
800,2012,Boat,AUSTRALIA,South Australia,Water Sports,M,N,4,27
801,2012,Unprovoked,USA,Hawaii,Surfing,M,N,4,28
802,2012,Unprovoked,USA,Florida,,M,N,4,
803,2012,Unprovoked,AUSTRALIA,Western Australia,Water Sports,M,Y,3,33
804,2012,Unprovoked,USA,Florida,Surfing,M,N,3,21
805,2012,Boat,AUSTRALIA,Western Australia,Fishing,,N,3,
806,2012,Unprovoked,AUSTRALIA,Queensland,Surfing,M,N,3,20
807,2012,Unprovoked,USA,Florida,Surfing,M,N,3,61
808,2012,Unprovoked,USA,Florida,Surfing,F,N,3,15
809,2012,Unprovoked,USA,Florida,Surfing,M,N,3,17
810,2012,Unprovoked,NEW ZEALAND,North Island,Surfing,M,N,3,
811,2012,Provoked,AUSTRALIA,Victoria,Water Sports,F,N,3,34
